Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
4,w,,sah,120,112,103,,,,,,,,,,,Baum 200 steht auf der so kante,
,,,bah,380,256,228,,,,,,,,,,,,
,n,,bah,261,252,244,,,,,,,,,,,,
,o,, ,,,,,,,,,,,,,,,
,s,, ,,,,,,,,,,,,,,,
17,n,, ,,,,,,,,,,,,,,,
,s,, ,,,,,,,,,,,,,,,
,w,, ,,,,,,,,,,,,,,,
,o,, ,,,,,,,,,,,,,,,
24,n,, ,,,,,,,,,,,,,,,
,s,, ,,,,,,,,,,,,,,,
,w,,,,,,,,,,,,,,,,,
,o,, ,,,,,,,,,,,,,,,
37,n,, ,,,,,,,,,,,,,,,
,w,, ,,,,,,,,,,,,,,,
,s,, ,,,,,,,,,,,,,,,
,o,, ,,,,,,,,,,,,,,,
44,n,, ,,,,,,,,,,,,,,,
,s,, ,,,,,,,,,,,,,,,
,w,, ,,,,,,,,,,,,,,,
,o,, ,,,,,,,,,,,,,,,
56,n,,sah,160,157,147,,,,,,,,,,,,
,,,sah,166,132,91,,,,,,,,,,,,
,o,, ,,,,,,,,,,,,,,,
,s,,sah,254,223,206,326,293,270,,,,,,,,,
,w,,,,,,,,,,,,,,,,,
65,n,,sah,143,100,75,,,,,,,,,,,,
,o,,sah,141,129,128,,,,,,,,,,,,
,s,,sah,98,74,47,,,,,,,,,,,,
,,,sah,118,90,61,,,,,,,,,,,,
,,,sah,105,88,68,,,,,,,,,,,,
,w,,sah,121,114,108,,,,,,,,,,,,
,,,sah,100,86,72,,,,,,,,,,,,
,,,sah,143,135,125,,,,,,,,,,,,
,,,sah,144,114,88,,,,,,,,,,,,
71,n,,sah,161,151,147,,,,,,,,,,,baum 20 steht 40cm nw der nw kante,
,w,,,,,,,,,,,,,,,,,
,s,,,,,,,,,,,,,,,,,
,o,,,,,,,,,,,,,,,,,
72,n,,,,,,,,,,,,,,,,,
,s,,,,,,,,,,,,,,,,,
,w,,,,,,,,,,,,,,,,,
,o,,,,,,,,,,,,,,,,,
73,n,,esch,179,158,141,,,,1,,,,,,,,
,o,, ,,,,,,,,,,,,,,,
,s,, ,,,,,,,,,,,,,,,
,w,,esch,240,235,222,,,,1,,,,,,,,
74,w,,,,,,,,,,,,,,,,,
,n,,,,,,,,,,,,,,,,,
,s,,,,,,,,,,,,,,,,,
,o,,,,,,,,,,,,,,,,,
75,n,,sah,98,92,67,,,,,,,,,,,,
,,,sah,62,25,,,,,,,,,,,,,
,,,sah,91,84,65,110,102,79,,,,,,,,,
,o,,sah,91,79,70,,,,,,,,,,,,
,,,hbu,47,42,,,,,,,,,,,,,
,s,,sah,99,64,19,,,,,,,,,,,,
,,,sah,111,69,47,,,,,,,,,,,,
,w,,sah,84,54,36,112,100,80,,,,,,,,,
,,,sah,113,81,74,,,,,,,,,,,,
,,,sah,115,98,67,144,126,93,,,,,,,,,
,,,sah,124,82,68,,,,,,,,,,,,
76,o,,sah,118,102,80,,,,,,,,,,,,
,s,,,,,,,,,,,,,,,,,
,w,,,,,,,,,,,,,,,,,
,n,,,,,,,,,,,,,,,,,
77,n,,,,,,,,,,,,,,,,,
,o,,sah,74,,,,,,,,,,,,,,
,,,esch,134,108,63,,,,1,,,,,,,,
,,,esch,66,61,,75,69,,1,,,,,,,,
,,,sah,79,60,38,,,,,,,,,,,,
,,,esch,54,50,28,59,50,29,1,,,,,,,,
,,,esch,59,47,36,77,63,52,1,,,,,,,,
,,,esch,71,69,53,,,,1,,,,,,,,
,,,esch,82,72,53,,,,1,,,,,,,,
,s,,esch,80,70,56,90,85,65,1,,,,,,,,
,,,esch,95,88,69,,,,1,,,,,,,,
,,,esch,96,83,42,115,99,63,1,,,,,,,,
,w,,esch,122,103,,,,,1,,,,,,,,
,,,esch,103,81,65,117,91,75,1,,,,,,,,
,,,esch,30,28,,,,,2,,,,,,1,,
,,,esch,96,87,70,,,,,,,,,,,,
78,n,,,,,,,,,,,,,,,,20cm nw kante steht baum 140,
,o,,,,,,,,,,,,,,,,,
,s,,,,,,,,,,,,,,,,,
,w,,,,,,,,,,,,,,,,,
79,o,,,,,,,,,,,,,,,,,
,s,,,,,,,,,,,,,,,,,
,w,,,,,,,,,,,,,,,,,
,n,,,,,,,,,,,,,,,,,
80,s,,,,,,,,,,,,,,,,auf so-kante steht baum 136,
,o,,,,,,,,,,,,,,,,,
,n,,,,,,,,,,,,,,,,,
,w,,,,,,,,,,,,,,,,,
81,o,,sah,159,150,144,,,,,,,,,,,auf w-ecke steht baum 133,
,,,sah,94,,,,,,,,,,,,,,
,,,sah,105,98,87,,,,,,,,,,,,
,,,sah,70,,,,,,,,,,,,,,
,s,,sah,73,,,,,,,,,,,,,,
,w,,,,,,,,,,,,,,,,,
,n,,esch,62,,,,,,,,,,,,,,
82,nswo,,,,,,,,,,,,,,,,keine baeume,
83,n,,sah,71,,,,,,,,,,,,,,
,o,,sah,91,81,70,100,89,78,,,,,,,,,
,,,sah,71,,,,,,,,,,,,,,
,s,,sah,76,67,,83,73,,,,,,,,,,
,w,,sah,77,,,,,,,,,,,,,,
,,,sah,86,,,,,,,,,,,,,,
,,,sah,102,70,55,111,81,60,,,,,,,,,
,,,sah,85,77,62,108,98,81,,,,,,,,,
,,,sah,94,81,73,,,,,,,,,,,,
,,,sah,98,89,78,110,98,86,,,,,,,,,
,,,sah,133,120,93,,,,,,,,,,,,
84,n,,esch,46,41,29,,,,2,,,,,,1,,
,,,sah,51,,,,,,,,,,,,,,
,,,esch,70,43,,97,60,,1,,,,,,,,
,o,,esch,50,,,57,,,,,,,,,,,
,s,,sah,90,88,76,,,,,,,,,,,,
,,,sah,100,94,87,106,103,90,,,,,,,,,
,w,,esch,110,98,63,116,107,70,1,,,,,,,,
,,,esch,92,88,73,98,93,77,1,,,,,,,,
85,w,,sah,83,,,113,,,,,,,,,,aum 124 steht auf der nordecke,
,nso,,,,,,,,,,,,,,,,kene baeume,
86,n,,,,,,,,,,,,,,,,kene baeume,
,o,,sah,121,93,70,131,103,80,,,,,,,,,
,,,sah,56,,,,,,,,,,,,,,
,,,esch,57,51,41,83,63,51,1,,,,,,,,
,s,,esch,91,78,65,108,87,73,1,,,,,,,,
,,,sah,117,110,98,,,,,,,,,,,,
,,,sah,121,113,78,,,,,,,,,,,,
,w,,bah,365,363,352,,,,,,,,,,,,
,,,sah,208,197,185,,,,,,,,,,,,
,,,esch,70,65,57,,,,1,,,,,,,,
,,,esch,81,73,61,,,,1,,,,,,,,
,,,esch,58,52,,71,65,,1,,,,t1,,,,
87,o,,esch,262,218,182,,,,2,,,,,,1,,
,n,,,,,,,,,,,,,,,,,
,w,,,,,,,,,,,,,,,,,
,s,,,,,,,,,,,,,,,,,
88,s,,esch,59,,,,,,1,,,,,,,,
,w,,,,,,,,,,,,,,,,,
,n,,esch,64,,,,,,1,,,,,,,,
,,,esch,45,34,22,,,,1,,,,,,,,
,,,esch,90,82,,,,,2,,,,,,1,,
,o,,esch,96,88,80,,,,1,,,,,,,,
89,n,,,,,,,,,,,,,,,,,
,o,,,,,,,,,,,,,,,,,
,s,,,,,,,,,,,,,,,,,
,w,,,,,,,,,,,,,,,,,
90,w,,esch,56,,,,,,1,,,,,,,,
,n,,esch,59,,,,,,1,,,,,,,,
,,,esch,51,,,,,,1,,,,,,,,
,o,,esch,70,,,,,,1,,,,,,,,
,,,esch,61,,,,,,1,,,,,,,,
,s,,,,,,,,,,,,,,,,,
91,o,,,,,,,,,,,,,,,,,
,s,,,,,,,,,,,,,,,,,
,n,,,,,,,,,,,,,,,,,
,w,,,,,,,,,,,,,,,,,
92,n,,,,,,,,,,,,,,,,,
,o,,,,,,,,,,,,,,,,,
,s,,,,,,,,,,,,,,,,,
,w,,,,,,,,,,,,,,,,,
93,n,,,,,,,,,,,,,,,,,
,o,,,,,,,,,,,,,,,,,
,s,,,,,,,,,,,,,,,,,
,w,,,,,,,,,,,,,,,,,
94,n,,,,,,,,,,,,,,,,,
,o,,,,,,,,,,,,,,,,,
,s,,,,,,,,,,,,,,,,,
,w,,,,,,,,,,,,,,,,,
95,s,,bah,253,244,238,,,,,,,,,,,,
,w,,sah,65,56,50,,,,,,,,,,,,
,,,sah,111,109,105,,,,,,,,,,,,
,n,,,,,,,,,,,,,,,,,
,o,,,,,,,,,,,,,,,,,
